#ProductCode,PCMUSSID,USSID[unique=true],PIMAttributeId,Weight
MP000000111087056,123676Anjali4200060056,123676Anjali42000600560,metalweightfinejwlry,20
MP000000111087056,123676Anjali4200060056,123676Anjali42000600561,diamondweightfinejwlry1,11
MP000000111087056,123676Anjali4200060056,123676Anjali42000600561,metalweightfinejwlry,12
MP000000111087056,123676Anjali4200060056,123676Anjali42000600562,diamondweightfinejwlry1,12
MP000000111087056,123676Anjali4200060056,123676Anjali42000600562,metalweightfinejwlry,15
MP000000111087056,123676Anjali4200060056,123676Anjali42000600563,diamondweightfinejwlry1,13
MP000000111087056,123676Anjali4200060056,123676Anjali42000600563,metalweightfinejwlry,14
MP000000111087057,123676Anjali4200060057,123676Anjali42000600570,diamondweightfinejwlry2,16
MP000000111087057,123676Anjali4200060057,123676Anjali42000600570,metalweightfinejwlry,17
MP000000111087057,123676Anjali4200060057,123676Anjali42000600571,diamondweightfinejwlry2,15
MP000000111087057,123676Anjali4200060057,123676Anjali42000600571,metalweightfinejwlry,14
MP000000111087057,123676Anjali4200060057,123676Anjali42000600572,diamondweightfinejwlry2,14
MP000000111087057,123676Anjali4200060057,123676Anjali42000600572,metalweightfinejwlry,13
MP000000111087057,123676Anjali4200060057,123676Anjali42000600573,diamondweightfinejwlry2,13
MP000000111087057,123676Anjali4200060057,123676Anjali42000600573,metalweightfinejwlry,11
MP000000111087057,123676Anjali4200060057,123676Anjali42000600574,diamondweightfinejwlry2,12
MP000000111087057,123676Anjali4200060057,123676Anjali42000600574,metalweightfinejwlry,16
MP000000111087058,123676Anjali4200060058,123676Anjali42000600581,diamondweightfinejwlry3,20
MP000000111087058,123676Anjali4200060058,123676Anjali42000600581,metalweightfinejwlry,12
MP000000111087058,123676Anjali4200060058,123676Anjali42000600582,diamondweightfinejwlry3,21
MP000000111087058,123676Anjali4200060058,123676Anjali42000600582,metalweightfinejwlry,13
MP000000111087058,123676Anjali4200060058,123676Anjali42000600583,diamondweightfinejwlry3,22
MP000000111087058,123676Anjali4200060058,123676Anjali42000600583,metalweightfinejwlry,14
MP000000111087058,123676Anjali4200060058,123676Anjali42000600584,diamondweightfinejwlry3,19
MP000000111087058,123676Anjali4200060058,123676Anjali42000600584,metalweightfinejwlry,15
MP000000111087058,123676Anjali4200060058,123676Anjali42000600585,diamondweightfinejwlry3,23
MP000000111087058,123676Anjali4200060058,123676Anjali42000600585,metalweightfinejwlry,16
MP000000111087058,123676Anjali4200060058,123676Anjali42000600586,diamondweightfinejwlry3,24
MP000000111087058,123676Anjali4200060058,123676Anjali42000600586,metalweightfinejwlry,17
MP000000111087059,123676Anjali4200060059,123676Anjali42000600591,diamondweightfinejwlry4,21
MP000000111087059,123676Anjali4200060059,123676Anjali42000600591,metalweightfinejwlry,20
MP000000111087059,123676Anjali4200060059,123676Anjali42000600592,diamondweightfinejwlry4,22
MP000000111087059,123676Anjali4200060059,123676Anjali42000600592,metalweightfinejwlry,21
MP000000111087059,123676Anjali4200060059,123676Anjali42000600593,diamondweightfinejwlry4,23
MP000000111087059,123676Anjali4200060059,123676Anjali42000600593,metalweightfinejwlry,22
MP000000111087059,123676Anjali4200060059,123676Anjali42000600594,diamondweightfinejwlry4,20
MP000000111087059,123676Anjali4200060059,123676Anjali42000600594,metalweightfinejwlry,23
MP000000111087059,123676Anjali4200060059,123676Anjali42000600595,diamondweightfinejwlry4,19
MP000000111087059,123676Anjali4200060059,123676Anjali42000600595,metalweightfinejwlry,24
MP000000111087060,123676Anjali4200060060,123676Anjali42000600606,diamondweightfinejwlry5,18
MP000000111087060,123676Anjali4200060060,123676Anjali42000600606,metalweightfinejwlry,19
MP000000111087060,123676Anjali4200060060,123676Anjali42000600608,diamondweightfinejwlry5,20
MP000000111087060,123676Anjali4200060060,123676Anjali42000600608,metalweightfinejwlry,21
MP000000111087060,123676Anjali4200060060,123676Anjali42000600610,diamondweightfinejwlry5,22
MP000000111087060,123676Anjali4200060060,123676Anjali42000600610,metalweightfinejwlry,18
MP000000111087060,123676Anjali4200060060,123676Anjali42000600607,diamondweightfinejwlry5,19
MP000000111087060,123676Anjali4200060060,123676Anjali42000600607,metalweightfinejwlry,20
MP000000111087060,123676Anjali4200060060,123676Anjali42000600609,diamondweightfinejwlry5,21
MP000000111087060,123676Anjali4200060060,123676Anjali42000600609,metalweightfinejwlry,22
MP000000111087061,123676Anjali4200060061,123676Anjali42000600611,diamondweightfinejwlry6,25
MP000000111087061,123676Anjali4200060061,123676Anjali42000600611,metalweightfinejwlry,20
MP000000111087061,123676Anjali4200060061,123676Anjali42000600612,diamondweightfinejwlry6,26
MP000000111087061,123676Anjali4200060061,123676Anjali42000600612,metalweightfinejwlry,21
MP000000111087061,123676Anjali4200060061,123676Anjali42000600613,diamondweightfinejwlry6,29
MP000000111087061,123676Anjali4200060061,123676Anjali42000600613,metalweightfinejwlry,17
MP000000111087062,123676Anjali4200060062,123676Anjali42000600621,diamondweightfinejwlry7,24
MP000000111087062,123676Anjali4200060062,123676Anjali42000600621,metalweightfinejwlry,21
MP000000111087062,123676Anjali4200060062,123676Anjali42000600622,diamondweightfinejwlry7,23
MP000000111087062,123676Anjali4200060062,123676Anjali42000600622,metalweightfinejwlry,12
MP000000111087062,123676Anjali4200060062,123676Anjali42000600623,diamondweightfinejwlry7,29
MP000000111087062,123676Anjali4200060062,123676Anjali42000600623,metalweightfinejwlry,18
MP000000111087062,123676Anjali4200060062,123676Anjali42000600624,diamondweightfinejwlry7,21
MP000000111087062,123676Anjali4200060062,123676Anjali42000600624,metalweightfinejwlry,21
MP000000111087063,123676Anjali4200060063,123676Anjali420006006301,diamondweightfinejwlry1,27
MP000000111087063,123676Anjali4200060063,123676Anjali420006006301,metalweightfinejwlry,17
MP000000111087063,123676Anjali4200060063,123676Anjali420006006302,diamondweightfinejwlry1,22
MP000000111087063,123676Anjali4200060063,123676Anjali420006006302,metalweightfinejwlry,25
MP000000111087063,123676Anjali4200060063,123676Anjali420006006303,diamondweightfinejwlry1,18
MP000000111087063,123676Anjali4200060063,123676Anjali420006006303,metalweightfinejwlry,12
MP000000111087064,123676Anjali4200060064,123676Anjali420006006401,diamondweightfinejwlry2,21
MP000000111087064,123676Anjali4200060064,123676Anjali420006006401,metalweightfinejwlry,25
MP000000111087064,123676Anjali4200060064,123676Anjali420006006402,diamondweightfinejwlry2,26
MP000000111087064,123676Anjali4200060064,123676Anjali420006006402,metalweightfinejwlry,16
MP000000111087064,123676Anjali4200060064,123676Anjali420006006403,diamondweightfinejwlry2,27
MP000000111087064,123676Anjali4200060064,123676Anjali420006006403,metalweightfinejwlry,22
MP000000111087065,123676Anjali4200060065,123676Anjali420006006501,diamondweightfinejwlry3,18
MP000000111087065,123676Anjali4200060065,123676Anjali420006006501,metalweightfinejwlry,10
MP000000111087065,123676Anjali4200060065,123676Anjali420006006502,diamondweightfinejwlry3,12
MP000000111087065,123676Anjali4200060065,123676Anjali420006006502,metalweightfinejwlry,13
MP000000111087065,123676Anjali4200060065,123676Anjali420006006503,diamondweightfinejwlry3,16
MP000000111087065,123676Anjali4200060065,123676Anjali420006006503,metalweightfinejwlry,12
MP000000111087066,123676Anjali4200060066,123676Anjali420006006601,diamondweightfinejwlry4,21
MP000000111087066,123676Anjali4200060066,123676Anjali420006006601,metalweightfinejwlry,20
MP000000111087066,123676Anjali4200060066,123676Anjali420006006602,diamondweightfinejwlry4,14
MP000000111087066,123676Anjali4200060066,123676Anjali420006006602,metalweightfinejwlry,12
MP000000111087066,123676Anjali4200060066,123676Anjali420006006603,diamondweightfinejwlry4,13
MP000000111087066,123676Anjali4200060066,123676Anjali420006006603,metalweightfinejwlry,10
MP000000111087067,123676Anjali4200060067,123676Anjali420006006701,diamondweightfinejwlry5,15
MP000000111087067,123676Anjali4200060067,123676Anjali420006006701,metalweightfinejwlry,10
MP000000111087067,123676Anjali4200060067,123676Anjali420006006702,diamondweightfinejwlry5,18
MP000000111087067,123676Anjali4200060067,123676Anjali420006006702,metalweightfinejwlry,12
MP000000111087067,123676Anjali4200060067,123676Anjali420006006703,diamondweightfinejwlry5,25
MP000000111087067,123676Anjali4200060067,123676Anjali420006006703,metalweightfinejwlry,20
MP000000111087068,123676Anjali4200060068,123676Anjali420006006801,diamondweightfinejwlry6,20
MP000000111087068,123676Anjali4200060068,123676Anjali420006006801,metalweightfinejwlry,18
MP000000111087068,123676Anjali4200060068,123676Anjali420006006802,diamondweightfinejwlry6,21
MP000000111087068,123676Anjali4200060068,123676Anjali420006006802,metalweightfinejwlry,19
MP000000111087068,123676Anjali4200060068,123676Anjali420006006803,diamondweightfinejwlry6,22
MP000000111087068,123676Anjali4200060068,123676Anjali420006006803,metalweightfinejwlry,13
MP000000111087069,123676Anjali4200060070,123676Anjali420006007001,diamondweightfinejwlry7,20
MP000000111087069,123676Anjali4200060070,123676Anjali420006007001,metalweightfinejwlry,17
MP000000111087069,123676Anjali4200060070,123676Anjali420006007002,diamondweightfinejwlry7,28
MP000000111087069,123676Anjali4200060070,123676Anjali420006007002,metalweightfinejwlry,26
MP000000111087069,123676Anjali4200060070,123676Anjali420006007003,diamondweightfinejwlry7,21
MP000000111087069,123676Anjali4200060070,123676Anjali420006007003,metalweightfinejwlry,19
MP000000111087070,123676Anjali4200060071,123676Anjali420006007101,diamondweightfinejwlry1,13
MP000000111087070,123676Anjali4200060071,123676Anjali420006007101,metalweightfinejwlry,16
MP000000111087070,123676Anjali4200060071,123676Anjali420006007102,diamondweightfinejwlry1,15
MP000000111087070,123676Anjali4200060071,123676Anjali420006007102,metalweightfinejwlry,17
MP000000111087070,123676Anjali4200060071,123676Anjali420006007103,diamondweightfinejwlry1,17
MP000000111087070,123676Anjali4200060071,123676Anjali420006007103,metalweightfinejwlry,18
